country,value,form,ISO 3166-1 2 Letter Code,ISO 3166-1 3 Letter Code
United States,19417144000000,country,US,USA
China,11795297000000,country,CN,CHN
Japan,4841221000000,country,JP,JPN
Germany,3423287000000,country,DE,DEU
United Kingdom,2496757000000,country,GB,GBR
India,2454458000000,country,IN,IND
France,2420440000000,country,FR,FRA
Brazil,2140940000000,country,BR,BRA
Italy,1807425000000,country,IT,ITA
Hungary,125297000000,country,HU,HUN
Bitcoin,124269826896,crypto,,BTC
Angola,122365000000,country,AO,AGO
Sri Lanka,84023000000,country,LK,LKA
Total value of all 32 NFL football teams,80705000000,item,,
Ethiopia,78384000000,country,ET,ETH
Turkmenistan,42355000000,country,TM,TKM
Combined box office gross of the ten most profitable actors in the world,42095000000,item,,
Jordan,40506000000,country,JO,JOR
Tunisia,40289000000,country,TN,TUN
Star Wars franchise,39536810000,item,,
Bolivia,39267000000,country,BO,BOL
Paraguay,28743000000,country,PY,PRY
Ethereum,28633107997,crypto,,ETH
Latvia,27795000000,country,LV,LVA
Uganda,27174000000,country,UG,UGA
Harry Potter franchise,25000000000,item,,
Estonia,23422000000,country,EE,EST
Ripple,20326686700,crypto,,XRP
Cyprus,19648000000,country,CY,CYP
Armenia,10741000000,country,AM,ARM
Bitcoin Cash,10597568757,crypto,,BCH
Madagascar,10372000000,country,MG,MDG
Benin,8792000000,country,BJ,BEN
Total value of the James Bond franchise,7979000000,item,,
Haiti,7897000000,country,HT,HTI
Burundi,3384000000,country,BI,BDI
Litecoin,2971653831,crypto,,LTC
Lesotho,2439000000,country,LS,LSO
Liberia,2215000000,country,LR,LBR
Dash,2108622877,crypto,,DASH
Djibouti,2088000000,country,DJ,DJI
Central African Republic,1992000000,country,CF,CAF
Belize,1829000000,country,BZ,BLZ
NEM,1562031000,crypto,,XEM
San Marino,1551000000,country,SM,SMR
Antigua and Barbuda,1454000000,country,AG,ATG
Monero,1337410553,crypto,,XMR
Solomon Islands,1245000000,country,SB,SLB
Guinea-Bissau,1166000000,country,GW,GNB
Ethereum Classic,1155628055,crypto,,ETC
Grenada,1089000000,country,GD,GRD
IOTA,1053414182,crypto,,MIOTA
Samoa,843000000,country,WS,WSM